number, RTT, Drift, t0, t1, t2, t3
775,0.197193623,-0.103123665,51:56.8,51:56.6,51:56.6,51:56.6
776,0.176227093,-0.079916239,52:07.0,52:06.8,52:06.8,52:06.8
777,0.151587009,-0.086675406,52:17.1,52:17.0,52:17.0,52:17.0
778,0.180911303,-0.099719167,52:27.3,52:27.1,52:27.1,52:27.1
779,0.1556952,-0.087189794,52:37.5,52:37.3,52:37.3,52:37.3
780,0.152701855,-0.089032888,52:47.6,52:47.5,52:47.5,52:47.5
781,0.154669046,-0.08619988,52:57.8,52:57.6,52:57.6,52:57.6
782,0.154136181,-0.086588621,53:08.0,53:07.8,53:07.8,53:07.8
783,0.156816244,-0.087721467,53:18.1,53:18.0,53:18.0,53:18.0
784,0.338896751,-0.178056955,53:28.5,53:28.1,53:28.1,53:28.1
785,0.155616522,-0.088052392,53:38.6,53:38.5,53:38.5,53:38.5
786,0.321155787,-0.166002631,53:48.9,53:48.6,53:48.6,53:48.6
787,0.182396412,-0.0800879,53:59.1,53:59.0,53:59.0,53:58.9
788,0.163816452,-0.09149313,54:09.3,54:09.1,54:09.1,54:09.1
789,0.16027689,-0.092061996,54:19.5,54:19.3,54:19.3,54:19.3
790,0.162956476,-0.091341138,54:29.6,54:29.5,54:29.5,54:29.5
791,0.164472818,-0.093557954,54:39.8,54:39.6,54:39.6,54:39.6
792,0.162417889,-0.09167552,54:50.0,54:49.8,54:49.8,54:49.8
793,0.17731595,-0.083767533,55:00.1,55:00.0,55:00.0,55:00.0
794,0.163637161,-0.093614578,55:10.3,55:10.1,55:10.1,55:10.2
795,0.311358929,-0.161512375,55:20.6,55:20.3,55:20.3,55:20.3
796,0.164676905,-0.091940522,55:30.8,55:30.6,55:30.6,55:30.6
797,0.221040249,-0.120791197,55:41.0,55:40.8,55:40.8,55:40.8
798,0.162544966,-0.09090054,55:51.2,55:51.0,55:51.0,55:51.0
799,0.165945768,-0.09207499,56:01.4,56:01.2,56:01.2,56:01.2
800,0.175547123,-0.095670223,56:11.5,56:11.4,56:11.4,56:11.4
801,0.167136908,-0.091256499,56:21.7,56:21.5,56:21.5,56:21.5
802,0.196053743,-0.084426999,56:31.9,56:31.7,56:31.7,56:31.7
803timeout,,,,,,
804,0.16237092,-0.085410953,56:55.1,56:54.9,56:54.9,56:54.9
805,0.158058167,-0.086856127,57:05.3,57:05.1,57:05.1,57:05.1
806,0.165860176,-0.087423086,57:15.4,57:15.3,57:15.3,57:15.3
807,0.161734819,-0.087088943,57:25.6,57:25.4,57:25.4,57:25.4
808,0.160251379,-0.087383628,57:35.8,57:35.6,57:35.6,57:35.6
809,0.159868717,-0.086613178,57:45.9,57:45.8,57:45.8,57:45.8
810,0.157380342,-0.088173032,57:56.1,57:55.9,57:55.9,57:55.9
811timeout,,,,,,
812,0.173035622,-0.094847441,58:19.3,58:19.1,58:19.1,58:19.1
813,0.168180704,-0.087245822,58:29.4,58:29.3,58:29.3,58:29.3
814,0.160514832,-0.089779854,58:39.6,58:39.4,58:39.4,58:39.4
815,0.16898036,-0.083570123,58:49.8,58:49.6,58:49.6,58:49.6
816,0.179240465,-0.079307199,59:00.0,58:59.8,58:59.8,58:59.8
817,0.156816006,-0.090932846,59:10.1,59:09.9,59:09.9,59:10.0
818,0.161184549,-0.087424874,59:20.3,59:20.1,59:20.1,59:20.1
819,0.156333447,-0.089430094,59:30.4,59:30.3,59:30.3,59:30.3
820,0.154602051,-0.087969065,59:40.6,59:40.4,59:40.4,59:40.4
821,0.235548496,-0.117995739,59:50.8,59:50.6,59:50.6,59:50.6
822,0.16741848,-0.090020418,00:01.0,00:00.8,00:00.8,00:00.8
823,0.155576468,-0.091688275,00:11.2,00:11.0,00:11.0,00:11.0
824,0.15639472,-0.090383887,00:21.3,00:21.2,00:21.2,00:21.2
825,0.153374434,-0.089038968,00:31.5,00:31.3,00:31.3,00:31.3
826,0.157040358,-0.088098168,00:41.6,00:41.5,00:41.5,00:41.5
827,0.152438879,-0.090134025,00:51.8,00:51.6,00:51.6,00:51.7
828,0.184385777,-0.098432541,01:02.2,01:02.1,01:01.8,01:01.8
829,0.168518305,-0.090476394,01:12.4,01:12.2,01:12.2,01:12.2
830,0.158274651,-0.089519739,01:22.6,01:22.4,01:22.4,01:22.4
831,0.185688734,-0.074110866,01:32.8,01:32.6,01:32.6,01:32.6
832,0.291493177,-0.15389359,01:43.1,01:42.8,01:42.8,01:42.8
833,0.150503397,-0.092440486,01:53.2,01:53.1,01:53.1,01:53.1
834,0.153615713,-0.091440558,02:03.4,02:03.2,02:03.2,02:03.2
